,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,MiscVal
260,19296,58,58,399.0,672,690,0,1362,0,1382,884,0,0
261,9588,13,13,270.0,0,0,1482,1482,1092,2574,868,0,0
262,8471,43,25,46.0,506,0,0,506,0,1212,492,292,0
263,5500,91,19,0.0,234,692,0,926,0,1316,484,0,0
264,5232,95,16,0.0,0,0,680,680,0,764,504,0,0
265,12090,39,39,210.0,588,228,606,1422,0,1422,576,276,0
266,11207,23,23,0.0,714,0,88,802,709,1511,413,95,0
267,8400,81,23,0.0,378,0,342,720,720,2192,240,262,0
268,6900,80,65,0.0,403,125,212,740,0,778,924,0,0
269,7917,44,44,174.0,751,0,392,1143,0,1113,504,370,0
270,10728,14,14,0.0,0,0,1095,1095,844,1939,1053,192,0
271,39104,66,15,0.0,226,1063,96,1385,0,1363,439,81,0
272,11764,21,13,348.0,524,0,628,1152,1106,2270,671,132,0
273,9600,62,32,183.0,620,620,0,1240,0,1632,338,289,0
274,8314,38,38,0.0,546,0,270,816,0,816,264,168,0
275,7264,95,13,0.0,0,0,952,952,596,1548,672,74,0
276,9196,17,17,0.0,0,0,1560,1560,0,1560,573,100,0
277,19138,69,69,0.0,120,0,744,864,0,864,400,0,0
278,14450,14,13,315.0,0,0,2121,2121,0,2121,732,124,0
279,10005,43,43,299.0,392,0,768,1160,866,2022,505,288,0
280,11287,31,31,340.0,421,0,386,807,807,1982,575,0,0
281,7200,14,14,68.0,905,0,357,1262,0,1262,572,0,0
282,5063,13,12,166.0,904,0,410,1314,0,1314,626,172,0
283,9612,12,11,72.0,0,0,1468,1468,0,1468,898,210,0
284,8012,28,28,0.0,430,0,1145,1575,0,1575,529,0,0
285,4251,14,13,0.0,0,0,625,625,625,1250,528,0,0
286,9786,58,39,0.0,600,0,312,912,649,1734,440,0,0
288,9819,53,53,31.0,450,0,432,882,0,900,280,0,0
289,8730,105,17,0.0,0,0,698,698,698,1396,384,0,0
290,15611,14,14,0.0,0,0,1079,1079,840,1919,685,0,0
292,11409,71,12,0.0,292,0,476,768,568,1716,281,0,0
293,16659,43,26,34.0,795,0,0,795,795,2263,539,0,0
294,9600,67,67,238.0,1285,0,131,1416,0,1644,418,110,0
295,7937,36,36,0.0,819,0,184,1003,0,1003,588,120,0
296,13710,70,70,0.0,420,0,490,910,648,1558,282,289,0
297,7399,23,22,1600.0,649,0,326,975,975,1950,576,0,0
298,11700,52,52,365.0,384,175,143,702,702,1743,539,224,0
299,14000,70,16,0.0,0,0,1092,1092,0,1152,300,0,0
300,15750,67,67,56.0,841,0,324,1165,0,1336,375,0,0
301,16226,22,21,0.0,281,0,747,1028,1242,2452,683,208,0
302,13704,19,18,150.0,0,0,1541,1541,0,1541,843,468,0
303,9800,48,48,0.0,894,0,0,894,0,894,552,256,0
304,18386,140,18,0.0,0,0,1470,1470,1818,3493,870,302,0
305,10386,16,15,246.0,1464,0,536,2000,0,2000,888,168,0
306,13474,30,29,246.0,700,0,0,700,1121,2243,746,127,0
308,12342,80,70,0.0,262,0,599,861,0,861,539,158,0
309,12378,17,16,0.0,1274,0,622,1896,0,1944,708,208,0
310,7685,27,26,112.0,518,0,179,697,804,1501,420,190,0
311,8000,72,18,0.0,680,0,292,972,0,972,240,0,0
312,7800,81,70,0.0,507,0,286,793,325,1118,410,0,0
313,215245,55,55,0.0,1236,820,80,2136,0,2036,513,0,0
314,9600,95,30,0.0,16,0,712,728,809,1641,546,0,0
315,7795,16,15,0.0,425,0,291,716,716,1432,432,100,0
316,13005,40,40,278.0,692,0,153,845,1200,2353,484,288,0
317,9000,14,14,0.0,0,0,1088,1088,871,1959,1025,208,0
318,9900,27,27,256.0,987,0,360,1347,1274,2646,656,340,0
319,14115,40,40,225.0,1036,0,336,1372,0,1472,588,233,0
320,16259,14,14,370.0,0,0,1249,1249,1347,2596,840,240,0
321,12099,16,16,388.0,970,0,166,1136,1332,2468,872,184,0
322,10380,34,33,172.0,28,1474,0,1502,1177,2730,576,201,0
323,5820,65,15,0.0,256,0,906,1162,0,1163,220,142,0
324,11275,53,13,300.0,0,0,710,710,1080,2978,564,240,0
325,5000,79,70,0.0,116,0,604,720,0,803,360,0,0
326,10846,27,27,0.0,1619,0,100,1719,0,1719,473,122,0
327,11600,60,60,175.0,565,0,818,1383,0,1383,292,0,0
328,11888,104,26,0.0,0,0,844,844,689,2134,441,0,0
329,6402,100,70,0.0,0,0,596,596,596,1192,189,0,0
330,10624,56,56,84.0,40,264,1424,1728,0,1728,352,155,0
331,8176,62,28,0.0,846,0,210,1056,0,1056,308,0,0
332,10655,17,16,296.0,1124,479,1603,3206,0,1629,880,0,0
333,8198,16,16,146.0,720,0,638,1358,0,1358,484,192,0
334,9042,22,22,0.0,828,0,115,943,695,1638,472,100,0
335,164660,55,55,0.0,1249,147,103,1499,167,1786,529,670,700
336,14157,15,14,200.0,1249,0,673,1922,0,1922,676,178,0
337,9135,18,17,113.0,810,0,726,1536,0,1536,532,192,0
338,14145,36,22,0.0,213,0,995,1208,0,1621,440,108,400
339,12400,62,22,176.0,585,0,630,1215,0,1215,297,0,0
340,14191,18,18,0.0,0,0,967,967,915,1908,431,135,0
341,8400,70,70,0.0,0,0,721,721,0,841,294,250,0
342,8544,71,70,340.0,0,0,0,0,0,1040,400,0,0
343,8849,15,15,616.0,28,0,1656,1684,0,1684,564,495,0
344,2592,44,44,0.0,129,232,175,536,576,1112,336,182,0
345,6435,81,70,0.0,0,0,972,972,605,1577,312,0,0
346,12772,60,22,0.0,498,0,460,958,0,958,301,0,15500
347,17600,60,60,30.0,1270,0,208,1478,0,1478,498,0,0
348,2448,17,16,106.0,573,0,191,764,862,1626,474,0,0
349,20431,15,14,870.0,1410,0,438,1848,880,2728,706,0,0
350,7820,13,13,362.0,0,0,1869,1869,0,1869,617,210,0
351,5271,34,34,0.0,1082,0,371,1453,0,1453,445,0,0
352,9084,79,70,0.0,236,380,0,616,495,1111,200,48,0
353,8520,92,17,0.0,0,0,624,624,0,720,484,106,0
354,8400,80,20,0.0,388,0,552,940,403,1595,240,0,0
355,11249,25,25,0.0,334,544,322,1200,0,1200,521,0,0
356,9248,28,28,106.0,560,0,598,1158,0,1167,400,120,0
357,4224,44,44,0.0,874,0,268,1142,0,1142,528,536,0
358,6930,62,62,120.0,300,294,468,1062,0,1352,288,168,0
359,12011,22,22,530.0,956,0,130,1086,838,1924,592,208,0
360,7540,42,42,0.0,773,0,115,888,0,912,470,0,0
361,9144,80,38,0.0,399,0,484,883,517,1505,240,0,0
362,7301,17,17,500.0,0,0,0,0,1427,1922,672,0,0
363,1680,48,13,510.0,162,0,321,483,504,987,264,250,0
364,18800,44,44,120.0,712,0,84,796,784,1574,566,306,0
365,10690,100,23,0.0,456,0,216,672,672,1344,468,0,0
366,9500,57,57,247.0,609,0,785,1394,0,1394,514,0,0
367,9150,58,58,305.0,371,0,728,1099,0,1431,296,64,0
368,7800,66,66,200.0,540,0,728,1268,0,1268,244,0,0
369,9830,61,14,0.0,72,258,733,1063,0,1287,576,364,0
370,8121,20,20,0.0,0,0,953,953,711,1664,460,100,0
371,17120,61,61,0.0,0,0,0,0,468,1588,680,0,0
372,7175,36,36,0.0,623,121,0,744,0,752,264,353,0
373,10634,67,67,0.0,428,180,0,608,0,1319,270,66,0
374,8200,17,16,0.0,0,0,847,847,1081,1928,434,100,0
376,8846,24,24,0.0,298,0,572,870,0,914,576,0,0
377,11143,16,15,0.0,0,0,1580,1580,886,2466,610,159,0
378,11394,10,10,350.0,1445,0,411,1856,0,1856,834,113,0
379,8123,20,20,16.0,0,0,982,982,793,1800,463,100,0
380,5000,96,70,0.0,218,0,808,1026,665,1691,308,0,0
381,7200,14,14,0.0,0,0,1293,1293,0,1301,572,216,0
382,9245,14,14,0.0,0,0,939,939,858,1797,639,144,0
383,9000,92,70,0.0,0,0,784,784,0,784,360,0,0
384,53107,28,28,0.0,985,0,595,1580,874,1953,501,216,0
385,3182,16,15,16.0,24,0,1232,1256,0,1269,430,146,0
387,7200,44,44,255.0,631,0,410,1041,0,1125,352,296,0
388,9382,21,20,125.0,0,0,1468,1468,0,1479,577,120,0
389,12474,13,12,272.0,1280,0,402,1682,590,2332,846,196,0
390,8405,120,70,0.0,241,391,229,861,406,1367,384,0,0
391,12209,19,18,0.0,690,0,114,804,1157,1961,560,125,0
392,8339,61,61,0.0,0,0,0,0,0,882,294,0,1200
394,10134,80,70,0.0,0,0,735,735,299,1034,240,0,0
395,9571,64,64,0.0,739,0,405,1144,0,1144,596,44,0
396,7200,48,48,0.0,777,0,117,894,0,894,600,215,0
397,7590,58,58,288.0,540,0,324,864,936,1812,264,0,0
398,8967,100,70,0.0,0,0,961,961,0,1077,338,0,0
399,8125,14,13,100.0,812,0,280,1092,438,1550,438,0,0
400,14963,24,24,0.0,786,0,474,1260,0,1288,500,120,0
401,8767,15,15,0.0,24,0,1286,1310,0,1310,400,0,0
402,10200,80,23,0.0,0,0,672,672,0,672,240,168,0
403,12090,22,22,650.0,0,0,1141,1141,1098,2263,420,144,0
404,10364,25,24,0.0,0,0,806,806,766,1572,373,0,0
405,9991,44,27,0.0,1116,0,165,1281,0,1620,490,120,0
406,10480,84,70,0.0,0,0,1064,1064,0,1639,240,0,0
407,15576,105,44,0.0,0,0,840,840,840,1680,308,0,0
408,14154,14,14,350.0,0,0,1063,1063,1101,2172,947,192,0
409,10800,13,12,100.0,789,0,245,1034,1028,2078,836,0,0
410,9571,62,62,0.0,0,0,1276,1276,0,1276,350,0,0
411,34650,65,65,0.0,1056,0,0,1056,0,1056,572,264,0
412,4403,11,11,432.0,578,0,892,1470,0,1478,484,0,0
413,8960,93,70,0.0,0,0,1008,1008,0,1028,360,0,0
414,11228,27,27,0.0,50,531,499,1080,1017,2097,678,196,0
415,8899,13,13,0.0,24,0,1316,1340,0,1340,396,100,0
416,7844,42,42,203.0,209,0,463,672,728,1400,440,0,0
417,22420,102,70,0.0,1128,0,242,1370,1254,2624,864,0,0
418,8160,80,70,0.0,312,0,444,756,378,1134,240,0,0
419,8450,52,52,0.0,775,0,281,1056,0,1056,304,0,0
420,7060,23,22,200.0,1309,0,35,1344,0,1344,784,0,0
421,16635,43,20,126.0,1246,0,356,1602,0,1602,529,240,0
422,21750,66,66,0.0,0,0,988,988,0,988,520,0,0
423,9200,22,22,473.0,986,0,484,1470,1160,2630,696,0,0
424,9000,64,64,74.0,616,0,580,1196,0,1196,297,0,0
425,3378,74,28,0.0,0,0,651,651,682,1389,240,0,0
426,12800,31,31,145.0,1518,0,0,1518,0,1644,569,80,0
427,8593,63,63,0.0,288,0,619,907,0,907,352,0,0
428,6762,13,13,108.0,664,0,544,1208,0,1208,628,105,0
429,11457,32,32,0.0,1005,0,387,1392,0,1412,576,0,0
430,1680,49,49,232.0,387,0,96,483,504,987,264,0,0
432,1920,49,49,376.0,471,0,294,765,600,1365,440,240,0
433,10839,23,22,0.0,0,0,926,926,678,1604,470,0,0
435,10667,24,24,0.0,385,344,70,799,834,1661,550,158,0
436,4400,100,70,0.0,0,0,648,648,384,1118,440,0,0
437,6000,94,16,0.0,0,0,884,884,0,904,180,0,0
438,4280,107,18,0.0,365,0,75,440,0,694,352,0,0
439,12354,100,20,0.0,0,0,684,684,512,1196,528,0,800
440,15431,12,12,200.0,1767,539,788,3094,0,2402,672,0,0
442,6240,90,28,0.0,0,0,1078,1078,445,1573,360,0,0
443,3922,14,13,72.0,0,0,1258,1258,0,1258,648,144,0
444,8750,26,25,0.0,642,0,273,915,975,1908,493,144,0
445,9855,64,64,0.0,0,0,1436,1436,0,1689,480,0,0
446,16492,54,18,0.0,247,713,557,1517,0,1888,578,0,0
