,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageArea,SalePrice
111,7,20,20,3,4,384,774,1430,2,3,7,3,3,2,400,180000
112,7,13,13,4,5,1264,1282,2696,2,5,10,4,3,3,792,383970
113,6,67,67,3,4,1809,2259,2259,2,4,7,4,1,2,450,217000
114,6,75,18,3,3,1028,1436,2320,2,4,9,3,1,1,180,259500
115,6,21,21,3,4,729,729,1458,2,3,5,2,1,2,440,176000
116,5,58,58,3,3,1092,1092,1092,1,3,6,1,1,1,288,139000
117,5,14,13,3,4,1125,1125,1125,1,3,5,0,1,2,430,155000
118,7,30,30,3,4,1673,1699,3222,3,4,11,3,1,3,594,320000
119,6,15,14,4,4,728,728,1456,2,4,8,4,3,2,390,163990
120,6,51,51,3,3,938,988,988,1,3,4,3,1,2,540,180000
121,4,81,70,3,3,732,772,1123,1,3,4,0,1,1,264,100000
122,6,62,62,3,3,1080,1080,1080,1,3,5,0,1,1,288,136000
123,6,27,27,4,4,1199,1199,1199,2,4,5,0,2,2,530,153900
124,6,41,22,3,4,1362,1586,1586,2,3,7,3,1,2,435,181000
125,6,85,38,3,3,520,520,754,1,3,5,0,0,0,0,84500
126,6,44,44,3,4,1078,958,958,2,3,5,3,2,2,440,128000
127,5,90,70,3,3,672,840,840,1,3,5,3,0,0,0,87000
128,6,54,54,3,3,660,660,1348,1,3,6,2,2,2,453,155000
129,5,62,29,3,3,1008,1053,1053,1,5,6,0,2,2,750,150000
130,7,54,54,3,3,924,1216,2157,2,4,8,4,3,2,487,226000
131,6,20,20,4,4,992,1022,2054,2,4,7,3,2,2,390,244000
132,5,61,18,3,3,1063,1327,1327,1,4,7,0,1,2,624,150750
133,8,19,18,4,5,1267,1296,1296,2,4,6,0,3,2,471,220000
134,5,52,27,3,3,1461,1721,1721,2,3,7,3,2,2,440,180000
135,7,50,50,3,3,1304,1682,1682,2,3,7,4,1,2,530,174000
136,5,53,53,3,3,1214,1214,1214,2,3,5,2,2,1,318,143000
137,7,32,31,3,3,1907,1959,1959,3,3,9,0,1,3,766,171000
138,8,21,20,4,4,1004,1004,1852,2,4,7,3,3,3,660,230000
139,6,23,23,3,4,928,928,1764,2,4,7,0,2,2,470,231500
140,4,49,49,3,3,864,864,864,1,3,5,1,0,0,0,115000
141,7,15,15,4,4,1734,1734,1734,2,4,7,0,3,2,660,260000
142,5,68,68,3,3,910,910,1385,2,3,6,0,1,2,720,166000
143,7,21,21,4,4,1490,1501,1501,2,4,6,0,2,2,577,204000
144,5,57,57,3,3,1728,1728,1728,2,3,10,0,1,2,504,125000
145,6,16,14,4,4,970,970,1709,2,4,7,0,1,2,380,130000
146,5,89,27,3,3,715,875,875,1,3,5,0,1,1,180,105000
147,7,19,19,4,4,884,884,2035,2,4,8,4,3,2,434,222500
148,7,16,15,3,4,1080,1080,1080,1,4,6,0,0,0,0,141000
149,5,84,70,3,4,896,896,1344,1,3,7,0,1,1,240,115000
150,5,45,45,3,3,969,969,969,1,3,5,0,1,2,440,122000
151,8,13,12,4,5,1710,1710,1710,2,4,6,4,2,3,866,372402
152,6,49,49,3,3,825,1097,1993,2,3,8,4,2,2,495,190000
153,6,60,45,3,4,1602,1252,1252,1,3,4,4,2,2,564,235000
154,6,97,70,3,3,1200,1200,1200,1,3,7,0,1,1,312,125000
155,6,96,70,3,3,572,572,1096,1,3,5,0,0,0,0,79000
156,5,70,70,3,0,0,1040,1040,1,3,5,0,1,2,625,109500
157,8,11,10,4,5,774,774,1968,2,5,8,4,3,3,680,269500
158,7,16,15,4,4,991,991,1947,2,4,8,4,2,2,678,254900
159,7,15,14,4,4,1392,1392,2462,2,4,9,4,2,2,576,320000
160,6,36,36,3,4,1232,1232,1232,2,3,6,0,1,2,516,162500
161,9,17,16,4,5,1572,1572,2668,2,5,10,4,3,3,726,412500
162,7,15,15,4,4,1541,1541,1541,2,4,7,4,2,2,532,220000
163,4,64,64,3,3,882,882,882,1,3,4,0,0,0,0,103200
164,6,94,16,3,3,1149,1149,1616,2,4,5,0,1,1,216,152000
165,5,80,21,3,3,644,808,1355,2,3,6,0,0,0,0,127500
166,5,65,27,4,3,1617,1867,1867,1,3,7,4,3,1,303,190000
167,8,13,13,4,5,1582,1610,2161,1,5,8,4,3,3,789,325624
168,7,16,16,4,4,840,840,1720,2,4,7,4,3,2,440,183500
169,8,39,39,4,4,1686,1707,1707,2,3,6,3,2,2,511,228000
170,5,79,70,3,3,720,854,1382,1,3,7,0,1,2,660,128500
171,6,60,60,3,3,1080,1656,1656,1,3,7,4,3,2,528,215000
172,7,33,33,4,4,1064,1064,1767,2,4,5,3,2,2,504,239000
173,6,59,59,3,3,1362,1362,1362,1,3,6,3,1,2,504,163000
174,6,34,34,3,4,1606,1651,1651,2,3,7,3,3,2,616,184000
175,6,70,19,3,3,1202,2158,2158,2,4,7,4,1,2,576,243000
176,6,32,31,4,4,1151,1164,2060,2,3,8,3,1,2,521,211000
177,5,62,62,4,3,1052,1252,1920,2,4,8,4,1,2,451,172500
178,9,12,11,5,5,2216,2234,2234,2,5,9,4,3,3,1166,501837
179,5,97,14,4,3,968,968,968,1,3,5,0,1,2,480,100000
180,6,20,20,4,4,756,769,1525,2,4,5,3,1,2,440,177000
181,7,100,70,3,2,793,901,1802,1,3,9,4,1,1,216,200100
182,5,63,14,3,0,0,1340,1340,1,3,7,4,2,1,252,120000
183,7,17,17,3,4,1362,1362,2082,2,4,6,0,1,2,484,200000
184,5,112,29,3,2,504,936,1252,1,3,5,0,1,2,576,127000
185,10,128,27,4,3,1107,1518,3608,2,5,12,3,1,3,840,475000
186,7,30,29,3,4,1188,1217,1217,2,4,6,0,1,2,497,173000
187,5,104,33,3,2,660,808,1656,2,3,8,0,1,1,180,135000
188,5,41,41,3,4,1086,1224,1224,0,3,6,3,1,2,528,153337
189,8,19,18,4,5,1593,1593,1593,1,5,5,4,3,2,682,286000
190,8,88,26,4,4,853,1549,2727,2,4,10,3,1,2,440,315000
191,7,48,16,3,3,725,725,1479,1,4,7,0,3,2,484,184000
192,7,21,21,4,4,1431,1431,1431,2,4,6,0,3,2,666,192000
193,7,16,16,4,4,970,970,1709,2,4,7,0,1,2,380,130000
194,5,48,48,3,3,864,864,864,1,3,5,0,1,1,352,127000
195,6,44,44,3,4,855,855,1456,2,3,7,3,1,2,440,148500
196,7,13,13,5,5,1726,1726,1726,2,5,8,4,3,3,786,311872
197,8,102,30,4,3,1360,1360,3112,2,4,8,5,1,2,795,235000
198,6,108,70,3,3,755,929,2229,1,3,8,0,0,0,0,104000
199,8,16,15,4,5,1713,1713,1713,2,5,7,4,3,3,856,274900
200,4,17,16,3,4,1121,1121,1121,2,3,5,0,2,2,440,140000
201,6,43,43,3,3,1196,1279,1279,2,3,6,2,1,2,473,171500
202,6,96,70,3,2,617,865,1310,2,3,6,0,1,1,398,112000
203,6,16,16,4,4,848,848,848,1,4,3,4,2,2,420,149000
204,5,73,70,3,3,720,720,1284,1,3,5,0,1,1,240,110000
205,7,30,30,3,4,1424,1442,1442,2,3,5,0,2,2,500,180500
206,5,58,58,3,3,1140,1696,1696,1,3,8,3,2,1,349,143900
207,4,60,60,3,3,1100,1100,1100,1,3,6,1,2,1,312,141000
208,7,32,31,4,4,1157,1180,2062,2,3,7,4,3,2,454,277000
209,6,56,56,3,4,1092,1092,1092,1,3,6,0,2,2,504,145000
210,5,95,70,3,3,864,864,864,1,3,5,0,0,0,0,98000
211,6,11,11,3,4,1212,1212,1212,2,4,6,0,2,2,460,186000
212,7,11,11,3,4,900,932,1852,2,4,7,3,2,2,644,252678
213,5,25,25,3,4,990,990,990,1,3,5,0,1,2,576,156000
214,6,43,43,3,4,689,689,1392,1,3,6,0,3,1,299,161750
215,5,63,24,3,3,1070,1236,1236,1,4,6,2,1,1,447,134450
216,7,16,16,4,4,1436,1436,1436,2,4,8,0,1,2,484,210000
217,4,95,70,3,3,686,810,1328,1,3,8,0,1,1,210,107000
218,7,81,14,4,3,798,1137,1954,1,4,8,3,1,2,431,311500
219,7,15,14,4,4,1248,1248,1248,2,4,5,0,3,2,438,167240
220,7,14,14,4,4,1498,1498,1498,2,4,5,0,2,2,675,204900
221,6,18,18,4,4,1010,1010,2267,2,4,8,3,2,2,390,200000
222,6,45,45,3,4,713,811,1552,2,3,6,3,2,2,434,179900
223,4,49,49,3,3,864,864,864,1,3,4,0,1,2,576,97000
224,10,17,17,5,5,2392,2392,2392,2,5,8,5,3,3,968,386250
225,5,49,49,3,3,630,630,1302,2,3,6,0,1,1,280,112000
226,7,25,25,4,4,1203,1214,2520,2,4,9,3,2,3,721,290000
227,6,50,50,3,3,483,483,987,1,3,5,0,1,1,280,106000
228,5,53,53,3,3,912,912,912,1,3,5,2,1,1,336,125000
229,7,15,14,4,4,1373,1555,1555,2,4,7,3,3,2,430,192500
230,6,61,61,3,3,1194,1194,1194,1,3,6,0,2,1,312,148000
231,8,25,24,4,4,1462,1490,2794,2,5,9,3,3,3,810,403000
232,6,48,48,3,3,483,483,987,1,3,5,1,1,1,288,94500
233,5,44,44,3,3,894,894,894,1,3,5,0,1,1,308,128200
234,6,18,18,4,4,860,860,1960,2,4,8,3,3,2,440,216500
235,6,49,49,3,3,483,483,987,1,3,5,0,1,1,264,89500
236,7,16,16,4,4,1414,1414,1414,2,4,6,0,2,2,494,185500
237,7,27,17,4,4,996,1014,1744,2,4,7,0,2,2,457,194500
238,8,13,13,5,5,1694,1694,1694,2,4,7,0,3,3,818,318000
239,6,75,70,3,3,735,798,1487,1,3,7,4,1,1,220,113000
240,8,12,12,4,4,1566,1566,1566,2,4,7,0,2,2,750,262500
241,5,75,23,3,3,686,866,866,1,4,4,0,0,0,0,110500
242,5,120,70,3,3,540,889,1440,1,3,6,0,1,1,352,79000
243,6,40,40,3,4,626,626,1217,1,3,6,3,2,1,288,120000
244,7,26,18,4,4,948,1222,2110,2,4,8,2,2,2,463,205000
245,7,32,32,3,4,1845,1872,1872,2,3,6,3,3,2,604,241500
246,6,110,70,3,2,1020,908,1928,2,2,9,0,1,1,440,137000
247,6,66,66,3,3,1367,1375,1375,1,3,5,3,1,2,451,140000
248,7,17,17,4,4,840,840,1668,2,4,8,0,2,2,500,180000
249,6,62,14,4,4,1444,1444,2144,2,4,7,3,3,2,389,277000
250,3,80,54,3,3,728,1306,1306,1,2,6,0,0,0,0,76500
251,8,14,13,4,4,1573,1625,1625,2,4,5,4,3,2,538,235000
252,6,16,16,4,4,798,798,1640,2,4,6,0,2,2,520,173000
253,6,56,29,3,4,1302,1302,1302,2,4,7,0,2,1,309,158000
254,5,63,63,3,3,1314,1314,1314,1,3,5,0,2,1,294,145000
255,7,21,21,4,4,975,1005,2291,2,4,8,3,3,2,429,230000
256,6,17,17,4,4,864,864,1728,2,4,7,0,2,2,673,207500
257,7,14,14,4,4,1604,1604,1604,2,4,8,4,2,2,660,220000
258,7,19,19,4,4,963,963,1792,2,4,7,3,2,2,564,231500
259,5,64,64,3,0,0,882,882,1,3,4,0,1,1,308,97000
260,6,58,58,3,3,1362,1382,1382,1,3,6,3,1,2,884,176000
261,8,13,13,4,5,1482,1482,2574,2,5,10,4,3,3,868,276000
262,6,43,25,3,4,506,1212,1212,1,3,6,3,1,2,492,151000
263,5,91,19,3,3,926,926,1316,1,3,6,0,1,2,484,130000
264,5,95,16,3,2,680,764,764,1,3,4,0,1,2,504,73000
265,6,39,39,3,4,1422,1422,1422,2,4,7,3,3,2,576,175500
266,6,23,23,3,4,802,802,1511,2,3,8,3,3,2,413,185000
267,5,81,23,3,3,720,1052,2192,2,4,8,4,1,1,240,179500
268,5,80,65,3,3,740,778,778,1,3,4,4,3,1,924,120500
269,6,44,44,3,3,1143,1113,1113,1,3,6,2,2,1,504,148000
270,8,14,14,4,4,1095,1095,1939,2,4,8,4,2,3,1053,266000
271,7,66,15,3,4,1385,1363,1363,1,3,5,3,1,2,439,241500
272,8,21,13,4,4,1152,1164,2270,2,4,9,4,3,3,671,290000
273,6,62,32,3,3,1240,1632,1632,2,3,6,4,2,1,338,139000
274,5,38,38,3,3,816,816,816,1,3,5,0,1,1,264,124500
275,7,95,13,4,3,952,952,1548,2,5,5,0,1,2,672,205000
276,7,17,17,4,5,1560,1560,1560,2,4,7,0,3,2,573,201000
277,4,69,69,3,3,864,864,864,1,3,4,0,1,2,400,141000
278,9,14,13,5,5,2121,2121,2121,2,5,8,5,3,3,732,415298
279,7,43,43,3,4,1160,1156,2022,2,3,8,3,3,2,505,192000
280,7,31,31,4,4,807,1175,1982,2,4,7,3,3,2,575,228500
281,6,14,14,4,4,1262,1262,1262,2,4,5,0,3,2,572,185000
282,7,13,12,4,4,1314,1314,1314,2,4,6,4,2,2,626,207500
283,8,12,11,4,4,1468,1468,1468,2,4,6,4,3,3,898,244600
284,6,28,28,4,4,1575,1575,1575,2,4,5,0,2,2,529,179200
285,7,14,13,4,4,625,625,1250,2,4,5,0,2,2,528,164700
286,6,58,39,3,3,912,1085,1734,1,4,7,4,2,2,440,159000
287,4,49,49,3,3,858,858,858,1,3,5,0,0,0,0,88000
288,5,53,53,3,3,882,900,900,1,3,5,0,1,1,280,122000
289,6,105,17,3,3,698,698,1396,1,3,7,0,1,1,384,153575
290,8,14,14,4,4,1079,1079,1919,2,4,8,4,2,2,685,233230
291,5,108,20,3,3,780,936,1716,2,2,9,0,0,0,0,135900
292,5,71,12,3,3,768,1148,1716,1,3,8,4,1,1,281,131000
293,7,43,26,3,3,795,1468,2263,2,4,9,3,3,2,539,235000
294,6,67,67,3,3,1416,1644,1644,1,3,7,4,3,2,418,167000
295,6,36,36,3,3,1003,1003,1003,1,3,6,0,1,2,588,142500
296,5,70,70,3,3,910,910,1558,1,3,6,0,1,1,282,152000
297,7,23,22,4,4,975,975,1950,2,4,7,3,2,2,576,239000
298,6,52,52,4,3,702,1041,1743,1,3,7,4,1,2,539,175000
299,6,70,16,3,3,1092,1152,1152,1,4,6,4,1,1,300,158500
300,5,67,67,3,3,1165,1336,1336,1,3,5,4,1,1,375,157000
301,8,22,21,4,4,1028,1210,2452,2,4,9,3,3,2,683,267000
302,7,19,18,4,4,1541,1541,1541,2,4,6,3,2,3,843,205000
303,5,48,48,3,3,894,894,894,1,3,5,0,1,2,552,149900
304,7,140,18,3,3,1470,1675,3493,3,4,10,5,1,3,870,295000
305,8,16,15,4,4,2000,2000,2000,2,4,8,0,3,3,888,305900
306,7,30,29,4,4,700,1122,2243,2,4,8,3,2,3,746,225000
307,6,100,70,3,3,319,1035,1406,1,2,6,0,0,0,0,89500
308,4,80,70,3,3,861,861,861,1,3,4,0,1,2,539,82500
309,9,17,16,4,5,1896,1944,1944,2,5,8,5,3,3,708,360000
310,6,27,26,3,4,697,697,1501,2,4,6,3,3,2,420,165600
311,6,72,18,3,3,972,972,972,1,3,5,4,1,1,240,132000
312,5,81,70,3,4,793,793,1118,1,3,5,4,1,2,410,119900
313,7,55,55,3,4,2136,2036,2036,2,3,8,4,2,2,513,375000
314,7,95,30,3,3,728,832,1641,1,5,6,4,1,2,546,178000
315,7,16,15,4,4,716,716,1432,2,4,6,4,3,2,432,188500
316,7,40,40,4,4,845,1153,2353,2,5,10,3,2,2,484,260000
317,8,14,14,4,4,1088,1088,1959,2,4,8,4,2,3,1025,270000
318,7,27,27,4,4,1347,1372,2646,2,4,9,3,2,3,656,260000
319,7,40,40,3,4,1372,1472,1472,2,3,6,3,1,2,588,187500
320,9,14,14,3,5,1249,1249,2596,3,4,9,0,2,3,840,342643
321,8,16,16,4,5,1136,1136,2468,2,4,10,4,3,3,872,354000
322,7,34,33,4,3,1502,1553,2730,2,4,8,3,3,2,576,301000
323,3,65,15,3,3,1162,1163,1163,1,3,6,0,1,1,220,126175
324,7,53,13,4,4,710,1898,2978,2,4,11,4,3,2,564,242000
325,5,79,70,3,3,720,803,803,1,3,5,0,1,2,360,87000
326,8,27,27,4,4,1719,1719,1719,1,4,6,4,3,2,473,324000
327,6,60,60,3,3,1383,1383,1383,1,3,7,0,2,1,292,145250
328,6,104,26,3,3,844,1445,2134,2,4,10,0,1,2,441,214500
329,5,100,70,3,3,596,596,1192,1,3,6,0,1,1,189,78000
330,5,56,56,3,3,1728,1728,1728,2,3,10,0,1,1,352,119000
331,5,62,28,3,3,1056,1056,1056,1,3,6,0,2,1,308,139000
332,8,17,16,4,4,3206,1629,1629,2,4,7,4,2,3,880,284000
333,7,16,16,4,4,1358,1358,1358,2,4,6,4,2,2,484,207000
334,6,22,22,3,4,943,943,1638,2,3,7,3,3,2,472,192000
335,5,55,55,3,3,1499,1619,1786,2,3,7,4,3,2,529,228950
336,9,15,14,4,5,1922,1922,1922,2,4,8,4,3,3,676,377426
337,7,18,17,4,4,1536,1536,1536,2,4,7,0,2,2,532,214000
338,7,36,22,4,4,1208,1621,1621,2,4,8,0,2,2,440,202500
339,6,62,22,3,3,1215,1215,1215,1,3,6,0,1,1,297,155000
340,8,18,18,4,4,967,993,1908,2,4,9,0,3,2,431,202900
341,4,70,70,2,3,721,841,841,1,3,4,0,1,1,294,82000
342,3,71,70,3,0,0,1040,1040,2,3,6,0,1,2,400,87500
343,9,15,15,5,5,1684,1684,1684,2,5,6,5,2,2,564,266000
344,5,44,44,3,4,536,536,1112,1,3,4,0,1,1,336,85000
345,6,81,70,3,3,972,972,1577,1,2,6,4,1,1,312,140200
346,6,60,22,3,3,958,958,958,1,3,5,0,2,1,301,151500
347,6,60,60,3,3,1478,1478,1478,2,3,6,4,1,2,498,157500
348,7,17,16,4,4,764,764,1626,2,4,6,0,2,2,474,154000
349,9,15,14,5,5,1848,1848,2728,2,5,10,5,3,3,706,437154
350,9,13,13,5,5,1869,1869,1869,2,5,6,4,2,2,617,318061
351,7,34,34,3,4,1453,1453,1453,1,4,6,3,2,2,445,190000
352,5,79,70,3,3,616,616,1111,1,3,5,0,1,1,200,95000
353,6,92,17,3,3,624,720,720,1,3,5,0,1,2,484,105900
354,6,80,20,3,3,940,1192,1595,1,3,6,4,1,1,240,140000
355,6,25,25,4,4,1200,1200,1200,2,4,6,0,2,2,521,177500
356,6,28,28,3,4,1158,1167,1167,2,4,6,0,2,2,400,173000
357,5,44,44,3,4,1142,1142,1142,1,3,6,1,3,2,528,134000
358,5,62,62,3,3,1062,1352,1352,1,4,6,0,1,1,288,130000
359,8,22,22,4,4,1086,1086,1924,2,4,7,3,2,2,592,280000
360,6,42,42,3,4,888,912,912,1,3,5,3,2,2,470,156000
361,5,80,38,3,3,883,988,1505,1,3,8,0,1,1,240,145000
362,7,17,17,4,0,0,495,1922,3,4,7,5,2,2,672,198500
363,6,48,13,3,3,483,483,987,1,4,5,0,1,1,264,118000
364,6,44,44,3,4,796,790,1574,2,3,6,3,3,2,566,190000
365,5,100,23,3,3,672,672,1344,1,3,6,0,1,1,468,147000
366,6,57,57,3,4,1394,1394,1394,1,3,6,4,2,2,514,159000
367,6,58,58,3,4,1099,1431,1431,1,3,6,4,2,1,296,165000
368,5,66,66,3,3,1268,1268,1268,1,3,7,4,3,1,244,132000
369,5,61,14,3,3,1063,1287,1287,1,4,7,4,3,2,576,162000
370,6,20,20,3,4,953,953,1664,2,3,7,3,2,2,460,172400
