,MSSubClass,LotFrontage,LotArea,Condition2,OverallQual,OverallCond,YearBuilt,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,TotalBsmtSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageArea,ScreenPorch,PoolQC,New,Abnorml
17,90,72.0,10791,0,4,5,53,3,6,6,0.0,3,0,0,0,0,0,1296,2,2,3,6,0,0,516,0,0,0.0,0
18,20,66.0,13695,0,5,5,16,3,11,11,0.0,3,3,3,1,468,1114,1114,3,1,4,6,0,0,576,0,0,0.0,0
19,20,70.0,7560,0,5,6,62,3,10,9,0.0,3,3,3,1,525,1029,1339,3,1,3,6,1,0,294,0,0,0.0,1
20,60,101.0,14215,0,8,5,15,3,11,11,380.0,4,5,3,3,1158,1158,2376,4,1,4,9,0,1,853,0,0,1.0,0
21,45,57.0,7449,0,7,7,90,3,5,5,0.0,3,3,3,1,637,637,1108,3,1,4,6,0,1,280,0,0,0.0,0
22,20,75.0,9742,0,8,5,18,3,11,11,281.0,4,4,3,1,1777,1777,1795,3,1,4,7,0,1,534,0,0,0.0,0
23,120,44.0,4224,0,5,7,44,3,12,12,0.0,3,4,3,1,200,1040,1060,3,1,3,6,0,1,572,0,0,0.0,0
24,20,0.0,8246,0,5,8,52,3,9,9,0.0,3,3,3,2,204,1060,1060,3,1,4,6,0,1,270,0,0,0.0,0
25,20,110.0,14230,0,8,5,13,3,11,11,640.0,4,4,3,1,1566,1566,1600,3,1,4,7,0,1,890,0,0,0.0,0
26,20,60.0,7200,0,5,7,69,3,5,5,0.0,3,3,3,2,180,900,900,3,1,4,5,0,0,576,0,0,0.0,0
27,20,98.0,11478,0,8,5,13,3,11,11,200.0,4,5,3,1,486,1704,1704,3,1,4,7,0,1,772,0,0,0.0,0
28,20,47.0,16321,0,5,6,63,3,6,6,0.0,3,3,3,4,207,1484,1600,2,1,3,6,0,2,319,0,0,0.0,0
29,30,60.0,6324,-1,4,6,93,3,6,6,0.0,3,3,3,1,520,520,520,1,1,2,4,0,0,240,0,0,0.0,0
30,70,50.0,8500,0,4,4,100,3,10,10,0.0,3,3,3,1,649,649,1317,3,1,3,6,0,0,250,0,0,0.0,0
31,20,0.0,8544,0,5,6,54,3,7,7,0.0,3,3,3,1,1228,1228,1228,3,1,4,6,0,0,271,0,0,0.0,0
32,20,85.0,11049,0,8,5,13,3,11,11,0.0,4,5,3,3,1234,1234,1234,3,1,4,7,0,0,484,0,0,0.0,0
33,20,70.0,10552,0,5,5,61,3,10,10,0.0,3,3,3,1,380,1398,1700,4,1,4,6,0,1,447,0,0,0.0,0
34,120,60.0,7313,0,9,5,15,3,6,6,246.0,5,5,3,1,408,1561,1561,2,1,5,6,0,1,556,0,0,0.0,0
35,60,108.0,13418,0,8,5,16,3,11,11,132.0,4,5,3,3,1117,1117,2452,4,1,4,9,0,1,691,0,0,0.0,0
36,20,112.0,10859,0,5,5,26,3,11,11,0.0,3,4,3,1,1097,1097,1097,3,1,3,6,0,0,672,0,0,0.0,0
37,20,74.0,8532,0,5,6,66,3,5,5,650.0,3,3,3,1,84,1297,1297,3,1,3,5,0,1,498,0,0,0.0,0
38,20,68.0,7922,0,5,7,67,3,11,11,0.0,3,3,3,1,326,1057,1057,3,1,4,5,0,0,246,0,0,0.0,1
40,20,84.0,8658,0,6,5,55,3,5,5,101.0,3,3,3,1,445,1088,1324,3,1,3,6,0,1,440,0,0,0.0,1
41,20,115.0,16905,0,5,6,61,3,11,11,0.0,3,3,3,4,383,1350,1328,2,1,3,5,0,2,308,0,0,0.0,0
42,85,0.0,9180,0,5,7,37,3,7,7,0.0,3,4,3,3,0,840,884,2,1,4,5,0,0,504,0,0,0.0,0
43,20,0.0,9200,0,5,6,45,3,11,11,0.0,3,4,3,3,167,938,938,3,1,3,5,0,0,308,0,0,0.0,0
44,20,70.0,7945,0,5,6,61,3,10,5,0.0,3,3,3,1,465,1150,1150,3,1,3,6,0,0,300,0,0,0.0,0
45,120,61.0,7658,0,9,5,15,3,6,6,412.0,5,5,3,1,1296,1752,1752,2,1,5,6,0,1,576,0,0,0.0,0
46,50,48.0,12822,0,7,5,17,3,11,11,0.0,4,5,3,1,83,1434,2149,1,1,4,6,0,1,670,198,0,0.0,1
47,20,84.0,11096,0,8,5,14,3,11,11,0.0,4,4,3,3,1632,1656,1656,3,1,4,7,0,0,826,0,0,0.0,0
49,20,66.0,7742,0,5,7,54,3,7,7,0.0,3,3,3,1,192,955,955,3,1,3,6,0,0,386,0,0,0.0,0
50,60,0.0,13869,0,6,6,23,3,11,11,0.0,3,4,3,3,612,794,1470,3,1,3,6,0,0,388,0,0,0.0,0
51,50,52.0,6240,0,6,6,86,3,5,5,0.0,3,3,3,1,816,816,1176,3,1,3,6,0,1,528,0,0,0.0,0
52,90,110.0,8472,0,5,5,57,3,5,5,0.0,2,4,3,4,0,816,816,2,1,3,5,0,0,516,0,0,0.0,0
53,20,68.0,50271,0,9,5,39,6,8,8,0.0,4,5,3,4,32,1842,1842,0,1,4,5,0,1,894,0,0,0.0,0
54,80,60.0,7134,0,5,5,65,3,6,6,0.0,3,3,3,1,0,384,1360,3,1,3,6,1,1,572,0,0,0.0,0
55,20,100.0,10175,0,6,5,56,3,7,9,272.0,3,3,3,1,935,1425,1425,3,1,3,7,0,1,576,0,0,0.0,0
56,160,24.0,2645,0,8,5,21,3,6,6,456.0,4,4,3,1,321,970,1739,3,1,4,7,0,0,480,0,0,0.0,1
57,60,89.0,11645,0,7,5,16,3,11,11,0.0,4,4,3,1,860,860,1720,3,1,4,7,0,0,565,0,0,0.0,0
58,60,66.0,13682,0,10,5,14,3,11,11,1031.0,5,5,3,4,1410,1410,2945,3,1,4,10,0,1,641,0,0,1.0,0
59,20,60.0,7200,0,5,7,48,3,7,7,0.0,3,3,3,3,148,780,780,2,1,3,4,0,0,352,0,0,0.0,0
60,20,63.0,13072,0,6,5,16,3,11,11,0.0,3,4,3,1,217,1158,1158,3,1,4,5,0,0,576,0,0,1.0,0
61,75,60.0,7200,0,5,7,100,3,6,6,0.0,3,3,2,1,530,530,1111,3,1,2,6,0,0,288,0,0,0.0,0
62,120,44.0,6442,0,8,5,14,3,11,11,178.0,4,4,4,2,1346,1370,1370,2,1,4,6,0,1,484,0,0,0.0,0
63,70,50.0,10300,-1,7,6,99,3,4,4,0.0,3,3,3,1,576,576,1710,3,1,3,9,0,0,480,0,0,0.0,0
64,60,0.0,9375,0,7,5,23,3,11,11,573.0,3,4,3,1,318,1057,2034,3,1,4,8,0,0,645,0,0,0.0,0
65,60,76.0,9591,0,8,5,16,3,11,11,344.0,4,5,3,3,1143,1143,2473,4,1,4,9,0,1,852,0,0,0.0,0
66,20,0.0,19900,0,7,5,50,3,9,9,287.0,3,4,3,4,1035,1947,2207,3,1,3,7,1,1,576,0,0,0.0,0
67,20,72.0,10665,0,7,5,17,3,11,11,167.0,4,4,3,3,440,1453,1479,3,1,4,7,0,0,558,0,0,0.0,0
68,30,47.0,4608,0,4,6,75,3,6,6,0.0,3,3,3,1,747,747,747,2,1,3,4,0,0,220,0,0,0.0,0
69,50,81.0,15593,0,7,4,67,3,10,3,0.0,4,3,3,1,701,1304,2287,3,1,3,7,0,1,667,0,0,0.0,0
70,20,95.0,13651,0,7,6,47,3,9,9,1115.0,3,4,3,4,343,2223,2223,3,1,3,8,0,2,516,0,0,0.0,0
71,20,69.0,7599,0,4,6,38,3,7,9,0.0,3,3,3,1,280,845,845,2,1,3,4,0,0,360,0,0,0.0,0
72,60,74.0,10141,0,7,5,22,3,11,11,40.0,3,4,3,1,832,832,1718,3,1,3,7,0,1,427,291,0,0.0,0
73,20,85.0,10200,0,5,7,66,3,5,5,104.0,3,3,3,1,404,1086,1086,3,1,3,6,0,0,490,0,0,0.0,0
74,50,60.0,5790,0,3,6,105,3,11,11,0.0,4,2,3,1,840,840,1605,3,2,3,8,0,0,379,0,0,0.0,0
75,180,21.0,1596,0,4,5,47,3,12,12,0.0,3,4,3,4,0,462,988,2,1,3,5,0,0,297,0,0,0.0,0
76,20,0.0,8475,0,4,7,64,3,11,11,0.0,3,3,3,1,724,952,952,2,1,3,4,0,0,283,0,0,0.0,0
77,50,50.0,8635,0,5,5,72,3,5,5,0.0,3,3,3,1,295,672,1285,2,1,3,6,1,0,240,0,0,0.0,0
79,50,60.0,10440,0,5,6,110,3,5,5,0.0,3,3,3,1,440,440,1230,2,1,3,5,0,0,440,0,0,0.0,0
80,60,100.0,13000,0,6,6,52,3,11,11,576.0,3,4,3,1,448,896,2142,4,1,4,8,0,1,509,252,0,0.0,0
81,120,32.0,4500,0,6,5,22,3,11,11,443.0,3,5,4,1,36,1237,1337,2,1,3,5,0,0,405,0,0,0.0,0
82,20,78.0,10206,0,8,5,13,3,11,11,468.0,3,4,3,1,1530,1563,1563,3,1,4,6,0,1,758,0,0,0.0,0
83,20,80.0,8892,0,5,5,60,3,6,6,66.0,3,3,3,1,1065,1065,1065,3,1,3,6,0,0,461,0,0,0.0,0
84,80,0.0,8530,0,7,5,25,3,7,7,22.0,3,4,3,1,384,384,1474,3,1,3,7,0,1,400,0,0,0.0,0
85,60,121.0,16059,0,8,5,29,3,7,7,284.0,4,4,3,1,1288,1288,2417,4,1,4,9,0,1,462,0,0,0.0,0
86,60,122.0,11911,0,6,5,15,3,11,11,0.0,4,4,3,3,684,684,1560,3,1,4,6,0,1,400,0,0,0.0,0
87,160,40.0,3951,0,6,5,11,3,11,11,76.0,4,4,3,3,612,612,1224,2,1,4,4,0,0,528,0,0,1.0,0
90,20,60.0,7200,0,4,5,70,3,10,5,0.0,3,0,0,0,0,0,1040,2,1,3,4,0,0,420,0,0,0.0,0
91,20,85.0,8500,0,5,3,59,3,7,7,203.0,3,3,3,1,635,1235,1235,2,1,3,6,0,0,480,0,0,0.0,1
92,30,80.0,13360,0,5,7,99,3,5,5,0.0,3,4,3,1,163,876,964,2,1,3,5,0,0,432,0,0,0.0,0
93,190,60.0,7200,0,6,6,110,3,6,6,0.0,3,3,2,2,168,1214,2291,4,2,3,9,0,1,506,99,0,0.0,0
94,60,69.0,9337,0,6,5,23,3,11,11,0.0,3,4,3,1,176,824,1786,3,1,4,7,0,0,684,0,0,0.0,0
95,60,0.0,9765,0,6,8,27,3,11,11,68.0,5,4,4,1,370,680,1470,3,1,3,6,0,1,420,0,0,0.0,0
96,20,78.0,10264,0,7,5,21,3,11,11,183.0,4,4,3,3,426,1588,1588,3,1,4,6,0,0,472,0,0,0.0,0
97,20,73.0,10921,0,4,5,55,3,7,7,48.0,3,3,3,1,440,960,960,3,1,3,6,0,0,432,0,0,0.0,0
98,30,85.0,10625,0,5,5,100,3,5,5,0.0,3,3,3,1,350,458,835,2,1,3,5,0,0,366,0,0,0.0,1
100,20,0.0,10603,0,6,7,43,3,9,9,28.0,3,3,3,2,410,1610,1610,3,1,4,6,0,2,480,0,0,0.0,0
101,60,77.0,9206,0,6,5,35,3,7,7,336.0,4,4,3,1,741,741,1732,3,1,4,7,0,1,476,0,0,0.0,0
102,90,64.0,7018,0,5,5,41,3,7,7,0.0,3,0,0,0,0,0,1535,4,2,3,8,0,0,410,0,0,0.0,0
103,20,94.0,10402,0,7,5,11,3,11,11,0.0,3,4,3,1,1226,1226,1226,3,1,4,6,0,0,740,0,0,0.0,0
104,50,0.0,7758,0,7,4,89,3,4,4,600.0,3,3,3,1,816,1040,1818,4,1,3,7,0,2,240,184,0,0.0,0
105,60,75.0,9375,0,8,5,17,3,11,11,768.0,4,5,3,1,1053,1053,1992,3,1,4,9,0,1,648,0,0,0.0,0
106,30,60.0,10800,0,4,7,135,3,11,11,0.0,3,2,3,1,641,641,1047,2,1,3,6,0,0,273,0,0,0.0,0
107,20,50.0,6000,0,5,5,72,3,11,11,0.0,3,3,3,1,516,789,789,2,1,3,5,0,0,250,0,0,0.0,0
109,20,105.0,11751,0,6,6,43,3,9,9,480.0,3,4,3,1,1139,1844,1844,3,1,3,7,0,1,546,0,0,0.0,0
110,50,75.0,9525,0,6,4,66,3,5,5,0.0,3,3,2,1,550,994,1855,4,1,3,7,0,0,325,0,0,0.0,0
111,80,0.0,7750,0,7,5,20,3,11,11,0.0,3,4,3,1,134,384,1430,3,1,3,7,0,1,400,0,0,0.0,0
112,60,77.0,9965,0,7,5,13,3,11,11,220.0,4,5,3,3,280,1264,2696,4,1,5,10,0,1,792,168,0,1.0,0
113,20,0.0,21000,0,6,5,67,3,5,5,184.0,3,4,3,2,905,1809,2259,3,1,4,7,0,2,450,0,0,0.0,1
114,70,61.0,7259,0,6,8,75,3,5,5,0.0,3,3,3,1,104,1028,2320,3,1,4,9,0,1,180,0,0,0.0,0
115,160,34.0,3230,0,6,5,21,3,6,6,1129.0,3,4,3,1,310,729,1458,2,1,3,5,0,1,440,0,0,0.0,0
116,20,0.0,11616,0,5,5,58,3,5,5,116.0,3,3,3,1,252,1092,1092,3,1,3,6,0,1,288,0,0,0.0,0
117,20,74.0,8536,0,5,5,14,3,11,11,0.0,3,4,3,1,1125,1125,1125,2,1,3,5,0,0,430,0,0,1.0,0
118,60,90.0,12376,0,7,5,30,3,9,9,0.0,3,4,3,2,203,1673,3222,5,1,4,11,0,2,594,0,0,0.0,0
119,60,65.0,8461,0,6,5,15,3,11,11,0.0,4,4,3,1,728,728,1456,3,1,4,8,0,1,390,0,0,1.0,0
120,80,0.0,21453,0,6,5,51,2,9,9,0.0,3,3,3,4,0,938,988,1,1,3,4,0,2,540,0,0,0.0,0
121,50,50.0,6060,0,4,5,81,3,3,3,0.0,3,3,3,1,732,732,1123,3,1,3,4,0,0,264,0,0,0.0,0
122,20,75.0,9464,0,6,7,62,3,6,6,135.0,3,3,3,1,510,1080,1080,3,1,3,5,0,0,288,130,0,0.0,0
123,120,55.0,7892,0,6,5,27,3,9,9,0.0,4,4,3,1,899,1199,1199,2,1,4,5,0,0,530,0,0,0.0,0
124,20,48.0,17043,0,6,5,41,3,7,7,0.0,3,4,2,1,1362,1362,1586,3,1,3,7,0,1,435,0,0,0.0,0
126,120,0.0,4928,0,6,5,44,3,9,9,0.0,3,4,3,1,958,1078,958,2,1,3,5,0,1,440,0,0,0.0,0
128,60,69.0,7590,0,6,5,54,3,11,11,266.0,3,3,3,1,148,660,1348,3,1,3,6,0,1,453,0,0,0.0,0
129,20,69.0,8973,0,5,7,62,3,9,9,85.0,3,3,3,1,413,1008,1053,3,1,5,6,0,0,750,0,0,0.0,1
130,60,88.0,14200,0,7,6,54,3,6,6,309.0,3,3,3,1,479,924,2157,4,1,4,8,0,2,487,0,0,0.0,0
131,60,0.0,12224,0,6,5,20,3,11,11,40.0,4,4,3,1,297,992,2054,3,1,4,7,0,1,390,0,0,0.0,0
132,20,75.0,7388,0,5,6,61,3,6,6,0.0,3,3,3,1,658,1063,1327,3,1,4,7,0,0,624,0,0,0.0,0
133,20,0.0,6853,0,8,5,19,3,11,11,136.0,4,5,3,1,262,1267,1296,2,1,4,6,0,0,471,0,0,0.0,0
134,20,78.0,10335,0,5,6,52,3,9,9,0.0,3,3,3,1,891,1461,1721,3,1,3,7,1,1,440,0,0,0.0,0
135,20,80.0,10400,0,7,6,50,3,9,9,288.0,3,3,3,1,1304,1304,1682,3,1,3,7,0,1,530,0,0,0.0,0
136,20,0.0,10355,0,5,5,53,3,6,6,196.0,3,3,3,1,519,1214,1214,3,1,3,5,0,1,318,0,0,0.0,0
137,90,82.0,11070,0,7,5,32,3,11,11,70.0,3,3,3,1,1907,1907,1959,5,2,3,9,0,0,766,0,0,0.0,0
138,60,73.0,9066,0,8,5,21,3,11,11,320.0,4,4,3,2,336,1004,1852,3,1,4,7,0,2,660,0,0,0.0,0
139,60,65.0,15426,0,6,5,23,3,11,11,0.0,3,4,3,1,107,928,1764,3,1,4,7,0,0,470,0,0,0.0,0
141,20,78.0,11645,0,7,5,15,3,11,11,0.0,4,4,3,3,434,1734,1734,3,1,4,7,0,0,660,0,0,0.0,0
142,50,71.0,8520,0,5,4,68,3,10,5,0.0,3,3,3,1,403,910,1385,4,1,3,6,0,0,720,0,0,0.0,0
143,20,78.0,10335,0,7,5,21,3,11,11,183.0,4,4,3,4,811,1490,1501,3,1,4,6,0,0,577,0,0,0.0,0
144,90,70.0,9100,0,5,5,57,3,7,7,336.0,3,3,3,1,396,1728,1728,6,2,3,10,0,0,504,0,0,0.0,1
145,160,24.0,2522,0,6,5,16,3,11,11,50.0,4,4,3,1,970,970,1709,3,1,4,7,4,0,380,0,0,0.0,0
146,30,51.0,6120,0,5,7,89,3,5,5,0.0,3,3,3,1,506,715,875,2,1,3,5,0,0,180,0,0,0.0,0
147,60,0.0,9505,0,7,5,19,3,11,11,180.0,4,4,3,1,884,884,2035,3,1,4,8,0,1,434,0,0,0.0,0
149,50,0.0,6240,0,5,4,84,3,6,6,0.0,3,4,3,1,896,896,1344,3,1,3,7,0,0,240,0,0,0.0,0
150,20,120.0,10356,0,5,6,45,3,7,7,0.0,3,3,3,3,253,969,969,3,1,3,5,0,0,440,0,0,0.0,0
151,20,107.0,13891,0,8,5,13,3,11,11,436.0,4,5,3,4,310,1710,1710,2,1,4,6,0,1,866,0,0,1.0,0
152,60,0.0,14803,0,6,5,49,3,7,7,252.0,3,3,3,1,409,825,1993,4,1,3,8,0,1,495,0,0,0.0,0
153,20,0.0,13500,0,6,7,60,3,10,9,0.0,3,4,3,4,93,1602,1252,1,1,3,4,0,1,564,0,0,0.0,0
154,30,84.0,11340,0,6,5,97,3,5,5,0.0,3,3,3,1,1200,1200,1200,4,1,3,7,0,0,312,0,0,0.0,0
156,20,60.0,7200,0,5,7,70,3,5,5,0.0,3,0,0,0,0,0,1040,2,1,3,5,0,0,625,0,0,0.0,0
157,60,92.0,12003,0,8,5,11,3,11,11,84.0,4,5,3,1,774,774,1968,4,1,5,8,0,1,680,0,0,1.0,0
158,60,100.0,12552,0,7,5,16,3,11,11,0.0,4,4,3,1,769,991,1947,3,1,4,8,0,1,678,0,0,0.0,0
159,60,134.0,19378,0,7,5,15,3,11,11,456.0,4,4,3,2,1335,1392,2462,4,1,4,9,0,1,576,0,0,1.0,0
160,20,0.0,11120,0,6,6,36,3,9,9,0.0,3,4,3,1,572,1232,1232,3,1,3,6,0,0,516,0,0,0.0,0
161,60,110.0,13688,0,9,5,17,3,11,11,664.0,4,5,3,3,556,1572,2668,3,1,5,10,0,2,726,0,0,0.0,0
162,20,95.0,12182,0,7,5,15,3,11,11,226.0,4,4,3,2,340,1541,1541,3,1,4,7,0,1,532,0,0,1.0,0
164,40,40.0,5400,0,6,7,94,3,6,6,0.0,3,3,3,2,779,1149,1616,3,1,4,5,0,0,216,0,0,0.0,0
166,20,0.0,10708,0,5,5,65,3,5,5,0.0,4,3,3,1,470,1617,1867,2,1,3,7,0,3,303,142,0,0.0,0
167,60,86.0,10562,0,8,5,13,3,11,11,300.0,4,5,3,1,294,1582,2161,3,1,5,8,0,1,789,0,0,1.0,0
168,60,62.0,8244,0,7,5,16,3,11,11,0.0,4,4,3,1,840,840,1720,3,1,4,7,0,1,440,0,0,0.0,0
169,20,0.0,16669,0,8,6,39,4,9,9,653.0,4,4,3,1,1686,1686,1707,2,1,3,6,0,1,511,0,0,0.0,0
170,50,0.0,12358,0,5,6,79,3,6,6,0.0,3,3,3,1,360,720,1382,2,1,3,7,0,0,660,0,0,0.0,0
171,20,141.0,31770,0,6,5,60,3,10,9,112.0,3,3,4,4,441,1080,1656,3,1,3,7,0,2,528,0,0,0.0,0
172,160,44.0,5306,0,7,7,33,3,7,7,0.0,4,4,4,1,354,1064,1767,2,1,4,5,0,1,504,0,0,0.0,0
173,20,80.0,10197,0,6,5,59,3,8,8,491.0,3,3,3,1,700,1362,1362,3,1,3,6,0,1,504,0,0,0.0,0
174,20,47.0,12416,0,6,5,34,3,11,9,132.0,3,4,2,1,0,1606,1651,3,1,3,7,2,1,616,0,0,0.0,0
175,20,84.0,12615,0,6,7,70,3,8,8,0.0,3,3,4,3,725,1202,2158,4,1,4,7,0,1,576,0,0,0.0,0
176,60,97.0,10029,0,6,5,32,3,9,9,268.0,4,4,3,1,320,1151,2060,4,1,3,8,0,1,521,192,0,0.0,0
177,50,0.0,13650,0,5,5,62,3,6,6,0.0,4,3,3,1,554,1052,1920,4,1,4,8,0,1,451,0,0,0.0,0
178,20,63.0,17423,0,9,5,12,3,11,11,748.0,5,5,3,1,312,2216,2234,1,1,5,9,0,1,1166,0,0,1.0,0
179,30,60.0,8520,0,5,6,97,3,5,5,0.0,4,3,3,1,968,968,968,2,1,3,5,0,0,480,0,0,0.0,0
180,160,0.0,2117,0,6,5,20,3,6,6,456.0,4,4,3,1,320,756,1525,3,1,4,5,0,1,440,0,0,0.0,0
181,70,54.0,7588,0,7,6,100,3,4,4,0.0,3,2,3,1,441,793,1802,4,1,3,9,0,1,216,0,0,0.0,0
182,20,60.0,9060,0,5,6,63,3,5,5,98.0,3,0,0,0,0,0,1340,3,1,3,7,0,1,252,0,0,0.0,0
183,50,63.0,11426,0,7,5,17,3,11,11,0.0,3,4,3,1,1362,1362,2082,3,1,4,6,3,0,484,0,0,0.0,0
184,50,92.0,7438,-1,5,8,112,3,3,9,0.0,3,2,3,1,504,504,1252,3,1,3,5,0,0,576,0,0,0.0,0
185,75,90.0,22950,0,10,9,128,6,5,5,0.0,4,3,3,2,1107,1107,3608,4,1,5,12,0,2,840,410,0,0.0,0
186,80,0.0,9947,0,7,5,30,3,7,7,0.0,3,4,3,3,577,1188,1217,3,1,4,6,0,0,497,0,0,0.0,0
187,50,60.0,10410,0,5,7,104,3,7,7,0.0,3,2,3,1,660,660,1656,3,1,3,8,2,0,180,0,0,0.0,0
188,90,64.0,7018,0,5,5,41,3,9,9,275.0,3,4,3,3,0,1086,1224,2,2,3,6,0,2,528,0,0,0.0,0
189,120,41.0,4923,0,8,5,19,3,12,12,0.0,4,5,3,3,440,1593,1593,0,1,5,5,0,1,682,224,0,0.0,0
190,70,70.0,10570,0,8,8,88,3,10,10,0.0,4,4,4,1,556,853,2727,3,1,4,10,4,2,440,0,0,0.0,0
191,60,0.0,7472,0,7,9,48,3,7,7,138.0,3,3,3,1,99,725,1479,4,1,4,7,0,0,484,0,0,0.0,0
192,20,68.0,9017,0,7,5,21,3,11,11,0.0,4,4,3,3,871,1431,1431,3,1,4,6,0,0,666,0,0,0.0,0
193,160,24.0,2522,0,7,5,16,3,11,11,50.0,4,4,3,1,970,970,1709,3,1,4,7,4,0,380,0,0,0.0,0
194,20,60.0,7180,0,5,7,48,3,7,7,0.0,3,3,3,3,474,864,864,3,1,3,5,0,0,352,0,0,0.0,0
195,160,24.0,2280,0,6,6,44,3,9,1,0.0,3,4,3,1,289,855,1456,3,1,3,7,0,1,440,0,0,0.0,0
196,20,79.0,9416,0,7,5,13,3,12,12,205.0,5,5,3,1,600,1726,1726,3,1,5,8,0,1,786,266,0,1.0,0
197,75,174.0,25419,0,8,4,102,3,4,4,0.0,4,3,3,1,140,1360,3112,4,1,4,8,0,1,795,0,4,0.0,1
199,20,76.0,9591,0,8,5,16,3,11,11,262.0,4,5,3,3,625,1713,1713,3,1,5,7,0,1,856,170,0,0.0,0
200,20,80.0,8546,0,4,5,17,3,11,11,0.0,3,4,3,1,1121,1121,1121,2,1,3,5,0,0,440,0,0,0.0,0
201,20,75.0,10125,0,6,6,43,3,9,9,0.0,3,3,3,1,276,1196,1279,3,1,3,6,0,2,473,0,0,0.0,0
202,50,50.0,7000,0,6,6,96,3,6,6,0.0,3,2,3,1,0,617,1310,2,1,3,6,1,0,398,0,0,0.0,0
203,120,0.0,4438,0,6,5,16,3,11,11,205.0,4,4,3,3,186,848,848,1,1,4,3,0,1,420,0,0,0.0,0
204,50,50.0,3500,0,5,7,73,3,3,3,0.0,3,3,3,1,408,720,1284,2,1,3,5,0,0,240,0,0,0.0,0
205,20,99.0,11851,0,7,5,30,3,7,7,0.0,3,4,3,1,1424,1424,1442,3,1,3,5,0,0,500,0,0,0.0,0
206,20,40.0,13673,0,5,5,58,3,7,7,0.0,3,3,3,1,1140,1140,1696,3,1,3,8,2,1,349,0,0,0.0,0
207,20,0.0,12493,0,4,5,60,3,5,5,0.0,3,3,3,1,375,1100,1100,3,1,3,6,0,1,312,0,0,0.0,0
208,60,0.0,14364,0,7,5,32,3,9,9,128.0,4,4,3,4,92,1157,2062,3,1,3,7,0,1,454,154,0,0.0,0
209,20,75.0,8250,0,6,7,56,3,7,7,260.0,3,4,3,1,305,1092,1092,3,1,3,6,0,0,504,0,0,0.0,0
211,20,83.0,10420,0,6,5,11,3,11,11,0.0,3,4,3,2,1176,1212,1212,3,1,4,6,0,0,460,0,0,0.0,0
212,60,72.0,8640,0,7,5,11,3,11,11,0.0,3,4,3,1,78,900,1852,3,1,4,7,0,1,644,0,0,1.0,0
